add-none,1,100,200,156204,781,0
add-none,1,1000,2000,161049,80,0
add-none,1,10000,20000,279199,13,0
add-none,1,100000,200000,1482154,7,0
add-none,2,100,400,151179,377,0
add-none,2,1000,4000,185195,46,596
add-none,2,10000,40000,697813,17,-1918
add-none,2,100000,400000,6880559,17,-24722
add-none,4,100,800,206121,257,0
add-none,4,1000,8000,315684,39,116
add-none,4,10000,80000,2102194,26,-3065
add-none,4,100000,800000,21230763,26,-32012
add-none,8,100,1600,317043,198,0
add-none,8,1000,16000,1015406,63,-7
add-none,8,10000,160000,5759219,35,-8691
add-none,8,100000,1600000,54992529,34,-93334
add-none,12,100,2400,402529,167,0
add-none,12,1000,24000,1104395,46,-70
add-none,12,10000,240000,9746067,40,-759
add-none,12,100000,2400000,91213696,38,-102519
add-yield-none,2,10,40,166523,4163,5
add-yield-none,2,20,80,182256,2278,6
add-yield-none,2,40,160,211013,1318,9
add-yield-none,2,80,320,269224,841,2
add-yield-none,2,100,400,320990,802,14
add-yield-none,2,1000,4000,1690580,422,11
add-yield-none,2,10000,40000,15755783,393,39
add-yield-none,2,100000,400000,153139774,382,-204
add-yield-none,4,10,80,222591,2782,3
add-yield-none,4,20,160,221943,1387,17
add-yield-none,4,40,320,241052,753,71
add-yield-none,4,80,640,293405,458,60
add-yield-none,4,100,800,325716,407,48
add-yield-none,4,1000,8000,1742243,217,18
add-yield-none,4,10000,80000,15955772,199,-228
add-yield-none,4,100000,800000,153972160,192,-2076
add-yield-none,8,10,160,324854,2030,7
add-yield-none,8,20,320,324077,1012,43
add-yield-none,8,40,640,366730,573,89
add-yield-none,8,80,1280,441795,345,-18
add-yield-none,8,100,1600,449344,280,68
add-yield-none,8,1000,16000,2474980,154,-469
add-yield-none,8,10000,160000,22694264,141,-4084
add-yield-none,8,100000,1600000,196921967,123,-5793
add-yield-none,12,10,240,407001,1695,9
add-yield-none,12,20,480,420116,875,75
add-yield-none,12,40,960,466355,485,153
add-yield-none,12,80,1920,521612,271,46
add-yield-none,12,100,2400,547760,228,62
add-yield-none,12,1000,24000,3438548,143,-641
add-yield-none,12,10000,240000,25582024,106,-3015
add-yield-none,12,100000,2400000,242807945,101,-19137
add-yield-m,2,10000,40000,42250863,1056,0
add-yield-m,4,10000,80000,113652075,1420,0
add-yield-m,8,10000,160000,266410427,1665,0
add-yield-m,12,10000,240000,423172102,1763,0
add-yield-c,2,10000,40000,1294579,32,0
add-yield-c,4,10000,80000,4291869,53,0
add-yield-c,8,10000,160000,23786994,148,0
add-yield-c,12,10000,240000,79584027,331,0
add-yield-s,2,1000,4000,3471906,867,0
add-yield-s,4,1000,8000,8072485,1009,0
add-yield-s,8,1000,16000,21513710,1344,0
add-yield-s,12,1000,24000,35286512,1470,0
add-none,1,10000,20000,293784,14,0
add-none,2,10000,40000,848704,21,562
add-none,4,10000,80000,2149197,26,-4744
add-none,8,10000,160000,5354007,33,-9642
add-none,12,10000,240000,9675882,40,-6390
add-m,1,10000,20000,770380,38,0
add-m,2,10000,40000,3791360,94,0
add-m,4,10000,80000,15522991,194,0
add-m,8,10000,160000,32834526,205,0
add-m,12,10000,240000,50056530,208,0
add-s,1,10000,20000,416139,20,0
add-s,2,10000,40000,7422545,185,0
add-s,4,10000,80000,34484004,431,0
add-s,8,10000,160000,89171385,557,0
add-s,12,10000,240000,179142385,746,0
add-c,1,10000,20000,558918,27,0
add-c,2,10000,40000,3027686,75,0
add-c,4,10000,80000,9118478,113,0
add-c,8,10000,160000,20388869,127,0
add-c,12,10000,240000,34784835,144,0
